Companies,URL,Description,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
D C Sales Co,dcsalesco.com,"D C Sales Co is a Manufacturers Representative agency focusing on the water, pump, and plumbing industries. The company provides customer support and facilitates relationships between manufacturers and wholesale distributors. D C Sales Co primarily serves the wholesale distribution sector within its specialized markets. It is based in Irving, Texas.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,,,
Rodgers Equipment Company,rodgersequipment.com,"Rodgers Equipment Company is a manufacturers representative for process equipment in various industries. The company offers equipment including mixing equipment, pumps, heat exchangers, dispersers, and emulsifiers. These products are used in sectors such as chemical processing, oil and gas, food and beverage, pharmaceuticals, cosmetics, paint, pulp and paper, power generation, plastics, and industrial waste and water treatment. It is based in Dallas, Texas.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,,,
Julio De Menezes Borges,cbhbs.com.br,"Julio De Menezes Borges is an organization involved in water resource management and environmental conservation within the hydrological basin domain. The company engages with water users, civil society, and government representatives to manage and preserve water basins, providing services that include policy development, stakeholder engagement, and environmental education. It also has an environmental data platform and addresses solid waste management and urban drainage. It is based in Brazil.",,,,,,Brazil,,,,,,,0%,Alive / Active,,,
West Coast Sales,westcoastsales.com,"West Coast Sales provides manufacturer's representative services in the marine accessories sector. They provide sales and marketing services based on their combined experience in retail, wholesale, and manufacturing to support the factories they represent. It was founded in 1971 and is based in Anacortes, Washington.","Advertising, Marketing & PR",,,,,United States,,,,,,,51.85%,Alive / Active,1971,,
TW Ward,twward.co.uk,"TW Ward Industrial Boiler Ltd is involved in the service, maintenance, repair, and sales of commercial and industrial boilers. The company provides products including steam and hot water boilers and commercial heating systems, as well as services such as pipework, coded welding, and a call-out service. TW Ward is the representative for Cleaver Brooks in England. It is based in United Kingdom.",Construction,,,,,United Kingdom,,,,,,,0%,Alive / Active,,,
June Tomiak,junetomiak.de,"June Tomiak is a member of the Berlin House of Representatives representing B'ndnis 90/Die Gr'nen, focusing on environmental and security policies. The company supports wildlife protection, security measures, and water body conservation. Tomiak's work includes raising awareness about urban wildlife interactions, strengthening groundwater agencies, and ensuring funding and implementation of water protection guidelines. It is based in Berlin, Germany.",Consulting & Outsourcing,,,,,Germany,,,,,,,0%,Alive / Active,,,
Dr. Eberhard Baran Ingenieurbüro,ib-baran.de,"Dr. Eberhard Baran Ingenieurbüro specializes in management systems for environmental, energy, occupational safety, and quality sectors. The company offers consulting services for system implementation, audits, and employee training, as well as support for operational representatives in waste, water, and emission protection. It is based in Germany.",Construction,,,,,Germany,,,,,,,0%,Alive / Active,,,
SOCIETE SCHMITT,societeschmitt.fr,"Société Schmitt provides maintenance and repair of heating systems within the heating and plumbing industry. The company performs boiler servicing, heat pump and air conditioning maintenance, and repairs for boilers and water heaters. Société Schmitt serves individuals, professionals, and community representatives. It is based in AGEN, France.",Manufacturing,,,,,France,,,,,,,0%,Alive / Active,,,
Cowette Plumbing & Heating,cowetteplumbing.com,"Cowette Plumbing & Heating is a business that provides plumbing and heating services. They offer services including new construction, additions, remodeling, residential hot water heaters, and on-demand water heaters. The company is a Kohler Authorized Service Representative. It is based in Bedford, New Hampshire.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Waterside Network,watersidenetwork.co.uk,"Waterside Network is a business networking initiative focused on local small businesses. The company facilitates weekly meetings where members can share ideas and generate business leads, with a policy of one representative per industry to ensure exclusivity within the group. It is based in Southampton, England.",Consulting & Outsourcing,,,,,United Kingdom,,,,,,,0%,Alive / Active,,,
Naturel Woondecoraties Surhuisterveen,naturelsurhuisterveen.nl,"Naturel Woondecoraties Surhuisterveen is a business that offers natural vitamins and minerals, water filtration systems, and serves as a sales representative for Beyuna, a brand that provides natural dietary supplements. The company also offers natural home decor items. It is based in Netherlands.",,,,,,Netherlands,,,,,,,0%,Alive / Active,,,
Policy Consulting Network,policyconsulting.co.uk,"Policy Consulting Network is a consultancy focused on the water sector, operating within the consulting industry. The company provides services in policy development, communication, and stakeholder engagement, serving water companies, regulators, consumer representatives, and government departments. Policy Consulting Network primarily serves utilities, industry regulators, consumer bodies, industry bodies, contractors, consultants, and institutions. It was founded in 2010 and is based in United Kingdom.",,,,,,United Kingdom,,,,,,,0%,Alive / Active,2010,,
Water Resources West,waterresourceswest.co.uk,"Water Resources West focuses on managing water resources and improving environmental conditions within the water sector. The company collaborates with abstractors, their representatives, and regulators to develop a long-term water resources plan that addresses regional needs and characteristics, considering factors such as climate change and resilience. The plan includes strategies for water demand management and explores options for transfers to areas experiencing water stress. It is based in United Kingdom.",,,,,,United Kingdom,,,,,,,0%,Alive / Active,,,
The Joyce Agency,thejoyceagency.com,"The Joyce Agency is a manufacturer's representative agency focusing on the plumbing, HVAC, and architectural sectors. They offer representation services to connect manufacturers with markets in plumbing and mechanical sales, as well as kitchen and bath showrooms and high-end residential builders, architects, and designers. The company primarily sells to the plumbing industry, architectural product groups, and water filtration markets. It was founded in 1982 and is based in Chantilly, Virginia.",Construction,General Building Materials,,,,United States,,,,,,,0%,Alive / Active,1982,,
United States Society on Dams,ussdams.org,"The United States Society on Dams is a professional organization involved in the planning, design, construction, operation, and maintenance of dams and levees. The society offers resources for engineering professionals to improve practices related to clean water access and flood protection. It acts as a representative to the International Commission on Large Dams (ICOLD) and provides technical events, training, and a career center for its members. It was founded in 1989 and is based in Aurora, Colorado.",,,,,,United States,,,,,,,15.38%,Alive / Active,1989,,
Control Components NW,ccnw.com,"Control Components NW is a manufacturers' representative that operates in building, industrial, and process automation across various sectors. The company provides products such as sensors, machine control systems, safety equipment, and network communication tools, along with application design assistance, training, and troubleshooting support. Control Components NW serves sectors including aerospace, energy management, and water-wastewater, addressing challenges in automation and production. It was founded in 1979 and is based in Battle Ground, Washington.",Machinery & Equipment,,,,,United States,,,,,,,-14.29%,Alive / Active,1979,,
InWarm,inwarm.ua,"InWarm specializes in wholesale and retail trade of heating and water supply systems within the plumbing and water supply industry. The company offers a range of products including heating boilers, radiators, floor heating systems, and plumbing fixtures, as well as services such as installation, projecting, and maintenance of these systems. InWarm is an official representative of various European and global brands. It was founded in 2005 and is based in Ukraine.",E-Commerce,,,,,Ukraine,,,,,,,0%,Alive / Active,2005,,
National Irrigators' Council,irrigators.org.au,"National Irrigators' Council is the representative body for the irrigated agriculture sector in Australia, focusing on policy advocacy and representation. The council engages in advocating for sustainable water policies, managing water property rights, and addressing the needs of the irrigated agriculture industry. It primarily serves the agricultural sector, with a focus on those producing food and fiber for domestic and export markets. It was founded in 2008 and is based in Barton, Australian Capital Territory.",,,,,,Australia,,,,,,,50%,Alive / Active,2008,,
Waterkant Festival,waterkant.sh,"Waterkant Festival is a platform that emphasizes innovation and entrepreneurship within the startup ecosystem and local business community. The festival serves as a venue for startups, local business representatives, and speakers from politics, economy, and science to exchange ideas and establish connections. It also provides experimental spaces and interactive areas throughout the year for entrepreneurial development and co-creation. It was founded in 2016 and is based in Kiel, Germany.",,,,,,Germany,,,,,,,0%,Alive / Active,2016,,
Vereniging werken voor waterschappen,vwvw.nl,"Vereniging werken voor waterschappen is a representative association focused on labor relations and employment conditions within the water management sector. The organization advocates for collective labor agreements, negotiates on behalf of its members, and provides resources and support on various employment-related topics. It primarily serves the water management sector and related organizations. It was founded in 2019 and is based in Den Haag, Netherlands.",HR & Staffing,,,,,Netherlands,,,,,,,0%,Alive / Active,2019,,
Canadian Home Builders' Association,chba.ca,"The Canadian Home Builders' Association is a representative body for the residential construction industry in Canada. It provides a platform for home builders, renovators, developers, and other industry stakeholders to collaborate and access resources. The association offers services including member education, industry advocacy, and market research. It was founded in 1943 and is based in Ottawa, Ontario.",Construction,,,,,Canada,,,,,,,0%,Alive / Active,1943,,
Siófoki Siómente Zrt,siomente.hu,"Si&oacute;foki Si&oacute;mente Zrt is a company focused on wholesale beverage distribution within the alcoholic and non-alcoholic beverage sector. The company offers a range of products including beers, wines, spirits, sparkling wines, sodas, mineral waters, and various gastronomic products to meet the needs of its partners. They provide seasonal delivery services and ordering options through assistance from sales representatives, phone, and their website. It is based in Hungary.",E-Commerce,,,,,Hungary,,,,,,,0%,Alive / Active,,,
National Federation of Group Water Schemes,nfgws.ie,"The National Federation of Group Water Schemes is a representative organization for the community-owned group water scheme sector in Ireland. It provides support and guidance on quality assurance, source protection, water conservation, network management, GWS management, funding, training, and education related to water services. The organization primarily serves the rural water sector and engages in initiatives addressing climate change and biodiversity. It is based in Ireland.",,,,,,Ireland,,,,,,,11.11%,Alive / Active,,,
Ability Reps,abilityreps.com,"Ability Reps is a manufacturer's representative firm that deals in foodservice equipment and supplies. The company provides products including commercial cooking and bakery equipment, beverage service and dispensing solutions, and water filtration systems. Ability Reps also supplies private logo steak knives and accessories, as well as air curtain protection for entryways. It was founded in 1987 and is based in Gloucester, Massachusetts.",,,,,,United States,,,,,,,-20%,Alive / Active,1987,,
AquaConSoil,aquaconsoil.com,"AquaConSoil is a biennial conference focused on the sustainable management of soil-water systems within the environmental science sector. The event allows scientists, policymakers, and industry representatives to share information and engage in discussions about soil and water management. AquaConSoil includes pre-conference courses, excursions, and a conference dinner as part of its program. It is based in Utrecht, Netherlands.",Consulting & Outsourcing,"Research, Engineering & Technical",,,,Netherlands,,,,,,,100%,Alive / Active,,,
Maison des Eaux Minérales Naturelles,eaumineralenaturelle.fr,"Maison des Eaux Minérales Naturelles is the representative body for the French mineral water industry, providing information on the various types of natural mineral water and their health advantages. It also engages in advocacy for environmental protection, local economic support, and the preservation of biodiversity related to mineral water production. It is based in Paris, France.",,,,,,France,,,,,,,-60%,Alive / Active,,,
CADIBSA,cadibsa.org.ar,"CADIBSA is a representative body for the non-alcoholic beverage industry. The organization advocates for its member companies, which produce soft drinks, carbonated and non-carbonated waters, flavored waters, juices, isotonic and energy drinks. CADIBSA's mission includes ensuring compliance with food safety standards and ethical business practices while influencing public policy to support industry competitiveness and sustainability. It was founded in 1969 and is based in Argentina.",,,,,,Argentina,,,,,,,0%,Alive / Active,1969,,
Waterloo Minor Hockey Association,waterloominorhockey.com,"Waterloo Minor Hockey Association is an organization focused on the development of youth hockey players within the sport of ice hockey. The association offers a range of programs designed to teach the skills of hockey, promote sportsmanship, and provide competitive team experiences. It caters to various age groups with a structured pathway from initiation to representative hockey. It is based in Canada.",Sports & Recreation,Professional Sports Teams,,,,Canada,,,,,,,-17.65%,Alive / Active,,,
Warren Thoma and Associates,thomaassociates.com,"Warren Thoma and Associates is a manufacturer's representative focused on the green industry, specializing in irrigation, filtration, drainage, low-voltage lighting, gardening products, and fountains & aerators. The company serves professional and commercial channels, working with various sectors within the green industry. It was founded in 1991 and is based in Huntley, Illinois.",Manufacturing,Farm & Construction Machinery Manufacturing,,,,United States,,,,,,,0%,Alive / Active,1991,,
Harry Warren,harrywarren.com,"Harry Warren is a manufacturers' representative organization in the plumbing industry. The company specializes in marketing quality plumbing products and providing superior service to customers and principals, with a focus on innovative sales solutions. Harry Warren primarily serves sectors such as commercial, residential, waterworks, irrigation, mechanical, septic, well water, and luxury showroom segments. It was founded in 1974 and is based in Orlando, Florida.",Construction,Plumbing & HVAC,,,,United States,,,,,,,0%,Alive / Active,1974,,
California Farm Water Coalition,farmwater.org,"The California Farm Water Coalition is a non-profit educational organization focused on the intersection of water use and agriculture within California. They provide fact-based information and serve as a representative for agricultural water users, aiming to inform public understanding and policy regarding water use in the agricultural sector. The coalition primarily engages with stakeholders in the agricultural industry, media, and the public to discuss the aspects and sustainability of irrigated agriculture. It was founded in 1989 and is based in Sacramento, California.",,,,,,United States,,,,,,,0%,Alive / Active,1989,,
Greenport Noord-Holland Noord,greenportnhn.nl,"Greenport Noord-Holland Noord is a representative of the agribusiness sector, focusing on the integration of knowledge, experience, and ambition. The company is involved in smart farming, renewable energy, biodiversity, water management, spatial planning, and workforce development within the agricultural industry. It serves the agricultural industry by supporting sustainable practices. It is based in Alkmaar, Netherlands.",,,,,,Netherlands,,,,,,,46.15%,Alive / Active,,,
Waterford Chamber,waterfordchamber.ie,"Waterford Chamber is a business representative organization that engages in economic development and support for businesses in Waterford. The Chamber provides services such as networking opportunities, business advocacy, and facilitation of international trade and foreign direct investment. It serves the local business community by offering networking, professional development, and recognition through programs and events. It was founded in 1787 and is based in Waterford, Ireland.",,,,,,Ireland,,,,,,,8.33%,Alive / Active,1787,,
figawa e.V,figawa.org,"figawa e.V is a technical-scientific association focused on technologies in the gas, liquid fuels, and water sectors. The organization serves as a stakeholder representative and knowledge network, engaging in standardization and legislative processes to ensure legal certainty for market participants. figawa e.V is involved in the transition from fossil fuels to climate-neutral fuels and participates in the approval, testing, and certification processes within the heat and water supply sector. It was founded in 1926 and is based in Cologne, Germany.",Facilities,,,,,Germany,,,,,,,0%,Alive / Active,1926,,
Taungurung Land & Waters Council,taungurung.com.au,"Taungurung Land & Waters Council (TLaWC) is the corporate representative of the Taungurung people. The council provides services for cultural heritage preservation and natural resource management. TLaWC engages in projects related to the Taungurung community and develops educational resources. It was founded in 2007 and is based in Broadford, Victoria.",,,,,,Australia,,,,,,,18.42%,Alive / Active,2007,,
Rapido Kft,rapidokft.hu,"Rapido Kft is a representative agency for foreign manufacturers in the industrial technology sector. The company is involved in the distribution and servicing of equipment and tools for the pharmaceutical, healthcare, industrial water treatment, and food industries. It provides IT network development and security services. It is based in Budapest, Hungary.",Internet Software & Services,Travel,,,,Hungary,,,,,,,0%,Alive / Active,,,
International Council of Beverages Associations,icba-net.org,"The International Council of Beverages Associations serves as the representative voice for the global non-alcoholic beverage industry. Its members include national and regional beverage associations as well as multinational companies involved in the production, distribution, and sale of non-alcoholic beverages. The organization engages with a diverse range of sectors within the beverage industry, including soft drinks, sports drinks, energy drinks, bottled waters, flavored waters, teas, coffees, and juice drinks. It is based in Washington, DC.",,,,,,United States,,,,,,,33.33%,Alive / Active,,,
LDEW Hessen,ldew.de,"LDEW Hessen is a representative organization for the energy and water sectors in Hessen and Rheinland-Pfalz. The organization represents its members' interests in political, regulatory, and public domains, offering assistance in economic, legal, and technical matters to ensure the security, quality, and efficiency of the energy and water industries. LDEW participates in the development of land-specific guidelines, industry recommendations, and principles for business practice. It was founded in 2008 and is based in Mainz, Germany.",Facilities,,,,,Germany,,,,,,,0%,Alive / Active,2008,,
DOT Sales,,"DOT Sales is a distributor and manufacturer's representative of waterwork products in Fontana, California.",Water,Water Distribution,,,,United States,,Core & Main,,,,,0%,Acquired,,,
Mine Water Solutions Conference,mineconferences.com,"Mine Water Solutions Conference is a professional series focused on mine water management within the mining industry. The conference includes research, best practices, and developments related to mine water issues, featuring technical papers and keynote speakers. It primarily caters to professionals, researchers, and industry representatives in mining and water management. It was founded in 2015 and is based in Vancouver, British Columbia.",,,,,,Canada,,,,,,,0%,Alive / Active,2015,,
Othmar Hoesli,plocher-produkte.ch,"Othmar Hoesli is the general representative for Plocher Schweiz, specializing in household and environmental health products. The company offers solutions for water vitalization, electrosmog harmonization, and reduction of calcium and rust. Othmar Hoesli primarily serves sectors such as household, animal care, and agricultural sustainability. It is based in Malters, Switzerland.",Medical Facilities & Services,,,,,Switzerland,,,,,,,0%,Alive / Active,,,
BWA South,bwasouth.com,"BWA South is a multi-line manufacturers' representative organization specializing in plumbing and specialty construction products. The company offers a range of products including smart water heaters, backflow preventers, cast iron plumbing systems, and touchless flush technology for residential and commercial construction. BWA South primarily serves wholesalers, contractors, engineers, architects, and designers in the construction industry. It is based in Hilliard, Ohio.",Construction,Plumbing & HVAC,,,,United States,,,,,,,0%,Alive / Active,,,
Watermark Engineered Product Sales,watermarkeps.com,"Watermark Engineered Product Sales is a manufacturer’s representative for products in the plumbing, HVAC, sewer, irrigation, and infrastructure markets. The company distributes products from various manufacturers and provides consulting services for project success. Watermark serves contractors, engineers, and distributors in the Midwest and Mid-Atlantic regions.",,,,,,,,,,,,,-18.18%,Alive / Active,,,
Fancher & Associates,fancherandassociates.com,"Fancher & Associates is a manufacturers' representative and stocking distributor in the industrial equipment sector. The company provides products such as timers, counters, encoders, sensors, transmitters, temperature sensors and controls, process heaters, pressure transducers, and infrared sensors. Fancher & Associates serves sectors including food & beverage, pharmaceuticals, plastics, rubber, irrigation, aggregate, chemicals, energy & power, oil & gas, and waste & water.",Machinery & Equipment,,,,,,,,,,,,0%,Alive / Active,,,
EMSI,emsidenver.com,"EMSI is a consulting firm that provides environmental and engineering consulting services, as well as construction management and owner representative support, across various sectors. The company offers consulting aimed at commercial, industrial, and government clients, with a focus on environmental management and engineering solutions. EMSI's services include hazardous waste management, groundwater and surface water treatment, and site remediation. It was founded in 1994.",,,,,,,,,,,,,50%,Alive / Active,1994,,
Ward and Kennedy Company,ward-kennedy.com,"Ward and Kennedy Company is an industrial distributor and manufacturer's representative that provides digital and die cutting solutions within various manufacturing sectors. The company offers services including prototype design, fabrication, supply chain management, and distribution for materials such as plastics, rubbers, and textiles. Ward and Kennedy serves industries that require custom machining, water jet cutting, and assembly of die cut parts.",Wholesale,,,,,,,,,,,,0%,Alive / Active,,,
Independent Rep Service,independentrepservice.com,"Independent Rep Service is a manufacturer's representative firm operating in the Water, Wastewater, Electrical, and Industrial markets. The company provides products including pipe fittings, valves, gaskets, and systems for cathodic protection and corrosion prevention, targeting wholesalers and specifiers.",,,,,,,,,,,,,0%,Alive / Active,,,
Vector Energy Solutions,vectorenergysolutions.com,"Vector Energy Solutions is a General Contractor and Owner's Representative/Consultant involved in energy efficiency and sustainable solutions for the industrial and commercial built environment. The company provides services in general contracting, energy efficiency consulting, water efficiency consulting, and climate action planning, with a focus on improving infrastructure and critical systems while aiming to reduce environmental impact. Vector Energy Solutions serves the industrial and commercial sectors, offering retrofit construction and consulting services to enhance operational efficiencies and assist in securing funding through utility rebates and grants. It was founded in 2020.",Real Estate,,,,,,,,,,,,-33.33%,Alive / Active,2020,,
Bonaire Hotel and Tourism Association,bonhata.com,"Bonaire Hotel and Tourism Association (BONHATA) is the representative body for the hotel and tourism sector on the island of Bonaire. The association provides services to its members, which include accommodation providers, diving and water sports businesses, car rentals, and dining establishments. BONHATA also tracks industry performance indicators. It was founded in 1980.",,,,,,,,,,,,,-50%,Alive / Active,1980,,
Claims Professional Representatives,cprclaims.com,"Claims Professional Representatives provides services in the insurance sector related to property damage claims. The company manages the claims process, negotiates settlements, and assists policyholders in seeking compensation. They handle various sectors including residential, commercial, and personal property claims, addressing damages from fire, water, wind, natural disasters, vandalism, and others.",Insurance,,,,,,,,,,,,0%,Alive / Active,,,
Heyward,heywardinc.com,"Heyward is a manufacturer’s representative focused on process equipment for water and wastewater treatment across various sectors. The company provides systems for solids dewatering, sludge handling, and chemical storage, along with technical sales and service support. Heyward serves the power industry, municipal water and wastewater facilities, and industrial sectors. It was founded in 1908 and is based in Glen Allen, Virginia.",,,,,,United States,,,,,,,0%,Alive / Active,1908,,
